tank_id	time	pH	temp	quantity_liters
68	2025-01-08 02:00:00	3.21	26.09	435
61	2025-01-10 15:00:00	3.97	25.83	558
40	2025-01-01 04:00:00	3.86	27.95	
84	2025-01-06 16:00:00	3.79	24.14	207
78	2025-01-09 20:00:00	3.6	23.53	532
41	2025-01-10 04:00:00	3.85	24.82	442
85	2025-01-11 04:00:00	3.01	25.48	434
39	2025-01-08 10:00:00	3.81	27.01	207
73	2025-01-05 21:00:00	3.7	25.8	901
11	2025-01-05 05:00:00	3.6	26.04	438
20	2025-01-08 09:00:00	3.72	23.11	530
48	2025-01-01 00:00:00	3.41	22.25	518
23	2025-01-05 20:00:00	3.09	25.22	
25	2025-01-05 09:00:00	3.16	23.46	306
36	2025-01-10 20:00:00	3.44	25.14	637
41	2025-01-09 16:00:00	3.17	22.52	405
5	2025-01-09 14:00:00	3.3	25.04	575
16	2025-01-02 02:00:00	3.42	22.22	580
86	2025-01-02 17:00:00	3.35	22.76	524
90	2025-01-02 03:00:00	3.43	25.34	364
76	2025-01-05 12:00:00	3.23	25.04	965
87	2025-01-11 10:00:00	3.91	22.9	313
19	2025-01-02 13:00:00	3.26	27.86	572
23	2025-01-08 05:00:00	3.32	24.01	336
86	2025-01-09 13:00:00	3.02	26.17	413
21	2025-01-05 09:00:00	3.92	24.08	702
30	2025-01-11 23:00:00	3.63	27.91	502
50	2025-01-01 23:00:00	3.22	26.54	
57	2025-01-05 05:00:00	3.05	23.04	662
1	2025-01-11 05:00:00	3.66	23.36	962
75	2025-01-01 18:00:00	3.31	26.83	553
5	2025-01-01 13:00:00	3.88	26.68	445
24	2025-01-10 00:00:00	3.86	24.32	475
9	2025-01-02 06:00:00	3.77	25.2	559
70	2025-01-04 01:00:00	3.84	24.91	225
51	2025-01-01 08:00:00	3.95	24.63	862
34	2025-01-02 21:00:00	3.74	22.76	531
22	2025-01-09 15:00:00	3.98	27.0	594
89	2025-01-01 05:00:00	3.47	22.56	740
41	2025-01-02 16:00:00	3.01	27.61	813
88	2025-01-04 07:00:00	3.74	23.01	722
100	2025-01-10 18:00:00	3.27	23.78	957
79	2025-01-06 14:00:00	3.64	22.58	342
69	2025-01-01 23:00:00	3.23	24.28	833
96	2025-01-05 16:00:00	3.45	26.55	783
4	2025-01-02 23:00:00	3.57	27.62	778
57	2025-01-07 03:00:00	3.95	26.67	850
45	2025-01-03 10:00:00	3.59	23.71	
54	2025-01-09 16:00:00	3.84	22.64	
88	2025-01-01 01:00:00	3.72	26.84	857
71	2025-01-05 11:00:00	3.83	25.07	998
89	2025-01-11 15:00:00	3.51	24.88	567
14	2025-01-10 16:00:00	3.07	24.09	494
58	2025-01-02 16:00:00	3.88	26.87	520
71	2025-01-09 23:00:00	3.69	27.41	744
15	2025-01-02 09:00:00	3.72	27.02	451
66	2025-01-04 06:00:00	3.72	27.58	463
97	2025-01-03 02:00:00	3.58	25.6	743
71	2025-01-01 09:00:00	3.66	25.48	569
71	2025-01-09 13:00:00	3.16	25.15	653
10	2025-01-07 02:00:00	3.98	22.18	986
96	2025-01-02 23:00:00	3.15	25.48	681
18	2025-01-09 11:00:00	3.13	25.94	512
28	2025-01-02 15:00:00	3.69	25.47	369
90	2025-01-04 08:00:00	3.34	25.17	412
30	2025-01-11 11:00:00	3.76	26.82	832
27	2025-01-05 01:00:00	3.04	26.26	874
58	2025-01-07 00:00:00	3.89	24.3	674
88	2025-01-05 15:00:00	3.52	24.38	722
99	2025-01-09 11:00:00	3.74	23.77	522
35	2025-01-05 02:00:00	3.91	26.03	735
96	2025-01-10 23:00:00	3.19	26.75	
10	2025-01-06 07:00:00	3.42	22.46	766
39	2025-01-06 14:00:00	3.98	26.88	460
97	2025-01-04 05:00:00	3.08	22.37	921
25	2025-01-05 11:00:00	3.45	24.89	529
21	2025-01-04 09:00:00	3.39	23.7	705
60	2025-01-05 13:00:00	3.74	25.2	941
34	2025-01-07 05:00:00	3.77	24.83	720
95	2025-01-01 22:00:00	3.77	23.58	908
11	2025-01-10 07:00:00	4.0	24.17	
38	2025-01-05 12:00:00	3.99	25.97	244
24	2025-01-07 08:00:00	3.82	26.0	339
21	2025-01-05 18:00:00	3.34	26.8	954
82	2025-01-01 12:00:00	3.28	24.69	931
45	2025-01-07 08:00:00	3.29	22.5	331
74	2025-01-08 12:00:00	3.35	27.93	686
64	2025-01-01 03:00:00	3.48	25.12	288
59	2025-01-11 17:00:00	3.68	24.57	670
1	2025-01-03 11:00:00	3.57	26.94	805
30	2025-01-08 17:00:00	3.8	24.0	389
93	2025-01-03 17:00:00	3.63	24.86	319
99	2025-01-04 06:00:00	3.49	23.91	489
3	2025-01-10 23:00:00	3.78	22.48	309
44	2025-01-08 22:00:00	3.73	23.45	533
81	2025-01-02 16:00:00	3.88	24.36	988
25	2025-01-05 20:00:00	3.69	26.07	454
3	2025-01-03 08:00:00	3.92	25.98	
40	2025-01-10 14:00:00	3.01	26.73	627
77	2025-01-02 12:00:00	3.56	23.99	484
46	2025-01-01 09:00:00	3.41	26.62	339
3	2025-01-08 10:00:00	3.87	26.03	210
25	2025-01-06 04:00:00	3.99	27.66	262
87	2025-01-06 11:00:00	3.19	24.19	715
36	2025-01-01 12:00:00	3.51	23.5	908
64	2025-01-01 02:00:00	3.25	26.91	614
94	2025-01-11 03:00:00	3.41	22.46	219
75	2025-01-09 16:00:00	3.73	24.32	280
53	2025-01-02 15:00:00	3.13	27.52	393
68	2025-01-11 19:00:00	3.45	27.45	667
58	2025-01-04 16:00:00	3.05	22.43	332
93	2025-01-06 02:00:00	3.15	26.32	700
6	2025-01-06 09:00:00	3.46	26.58	743
23	2025-01-02 06:00:00	3.08	23.83	
49	2025-01-07 23:00:00	3.45	26.03	844
37	2025-01-02 21:00:00	3.3	26.3	822
47	2025-01-11 10:00:00	3.3	25.26	777
65	2025-01-10 14:00:00	4.0	25.79	539
15	2025-01-04 01:00:00	3.26	23.73	899
65	2025-01-09 18:00:00	3.33	27.98	764
21	2025-01-08 23:00:00	3.24	27.8	899
61	2025-01-10 21:00:00	3.61	27.92	638
24	2025-01-08 09:00:00	3.26	25.13	583
19	2025-01-03 02:00:00	3.99	27.63	634
19	2025-01-02 13:00:00	3.82	23.39	652
51	2025-01-05 01:00:00	3.03	27.45	729
59	2025-01-06 14:00:00	3.42	23.17	891
99	2025-01-01 07:00:00	3.99	26.89	349
30	2025-01-01 02:00:00	3.29	24.44	380
18	2025-01-10 15:00:00	3.25	26.93	693
20	2025-01-08 08:00:00	3.2	23.99	659
23	2025-01-03 18:00:00	3.22	23.92	463
11	2025-01-06 09:00:00	3.13	27.73	756
49	2025-01-06 06:00:00	3.99	25.71	425
92	2025-01-03 06:00:00	3.46	26.79	522
68	2025-01-01 10:00:00	3.34	23.05	357
88	2025-01-03 05:00:00	3.89	27.28	282
18	2025-01-01 13:00:00	3.59	22.92	564
8	2025-01-05 00:00:00	3.21	25.17	972
79	2025-01-09 10:00:00	3.49	26.06	474
15	2025-01-08 22:00:00	3.66	24.9	402
36	2025-01-07 11:00:00	3.62	23.79	487
2	2025-01-01 17:00:00	3.26	25.4	870
79	2025-01-03 20:00:00	3.67	27.68	409
30	2025-01-07 10:00:00	3.04	23.62	395
61	2025-01-03 21:00:00	3.54	25.55	600
69	2025-01-05 01:00:00	3.35	25.3	769
78	2025-01-03 03:00:00	3.37	27.47	454
8	2025-01-02 12:00:00	3.76	25.27	411
11	2025-01-04 22:00:00	3.81	27.97	
9	2025-01-08 00:00:00	3.09	24.45	440
53	2025-01-07 07:00:00	4.0	27.81	556
11	2025-01-07 10:00:00	3.19	24.02	901
90	2025-01-09 05:00:00	3.1	22.74	965
8	2025-01-08 21:00:00	3.72	26.16	200
88	2025-01-09 00:00:00	3.7	24.73	347
52	2025-01-06 08:00:00	3.58	25.29	717
78	2025-01-04 17:00:00	3.17	22.22	981
11	2025-01-06 15:00:00	3.46	24.7	432
55	2025-01-04 17:00:00	3.67	22.52	954
58	2025-01-11 04:00:00	3.37	23.75	313
92	2025-01-08 14:00:00	4.0	24.99	425
31	2025-01-04 01:00:00	3.38	26.76	750
97	2025-01-01 00:00:00	3.96	24.97	730
3	2025-01-11 09:00:00	3.15	26.04	459
9	2025-01-02 07:00:00	3.79	24.77	677
35	2025-01-07 15:00:00	3.68	23.56	299
88	2025-01-08 06:00:00	3.29	25.03	569
7	2025-01-06 06:00:00	3.41	22.63	716
63	2025-01-02 22:00:00	3.77	24.27	594
87	2025-01-10 01:00:00	3.66	25.02	985
89	2025-01-11 00:00:00	3.58	23.42	767
55	2025-01-10 15:00:00	3.37	22.99	852
82	2025-01-06 23:00:00	3.02	22.08	
19	2025-01-09 17:00:00	3.47	23.07	374
83	2025-01-05 15:00:00	3.76	22.97	316
48	2025-01-09 07:00:00	3.7	23.55	746
59	2025-01-06 10:00:00	3.47	22.24	734
66	2025-01-06 22:00:00	3.99	22.65	607
34	2025-01-05 20:00:00	3.33	24.83	984
35	2025-01-03 00:00:00	3.06	25.96	685
3	2025-01-10 19:00:00	3.19	24.88	332
61	2025-01-02 00:00:00	3.31	27.69	734
33	2025-01-08 05:00:00	3.05	26.18	606
15	2025-01-08 21:00:00	3.75	23.67	521
1	2025-01-01 20:00:00	3.55	22.85	486
33	2025-01-04 12:00:00	3.28	25.78	837
98	2025-01-02 01:00:00	3.08	22.63	
99	2025-01-04 00:00:00	3.85	26.32	237
60	2025-01-04 14:00:00	3.7	27.2	
39	2025-01-01 16:00:00	3.96	23.78	843
7	2025-01-10 01:00:00	3.83	24.05	558
85	2025-01-02 12:00:00	3.3	23.08	562
20	2025-01-02 11:00:00	3.95	23.88	378
86	2025-01-09 14:00:00	3.46	22.41	897
9	2025-01-10 03:00:00	3.28	25.98	773
20	2025-01-08 04:00:00	3.86	26.84	792
38	2025-01-06 21:00:00	3.01	25.73	385
77	2025-01-11 02:00:00	3.16	25.48	
74	2025-01-10 15:00:00	3.88	27.3	566
50	2025-01-01 06:00:00	3.7	26.51	
45	2025-01-06 08:00:00	3.03	26.47	985
5	2025-01-07 04:00:00	3.91	26.84	549
70	2025-01-03 04:00:00	3.29	26.07	
74	2025-01-08 17:00:00	3.58	25.25	321
10	2025-01-04 02:00:00	3.35	26.34	285
51	2025-01-10 19:00:00	3.98	22.32	734
4	2025-01-03 00:00:00	3.45	25.8	513
42	2025-01-04 12:00:00	3.98	23.09	497
94	2025-01-08 01:00:00	3.09	22.54	674
95	2025-01-01 05:00:00	3.12	22.17	
34	2025-01-04 15:00:00	3.72	23.96	269
4	2025-01-08 12:00:00	3.29	27.99	509
23	2025-01-03 18:00:00	3.86	27.41	380
50	2025-01-11 21:00:00	3.11	24.4	755
22	2025-01-05 03:00:00	3.73	27.88	577
4	2025-01-06 04:00:00	3.44	22.04	951
28	2025-01-05 08:00:00	3.09	23.84	842
46	2025-01-02 21:00:00	3.56	27.91	921
12	2025-01-02 06:00:00	3.62	24.28	
34	2025-01-08 06:00:00	3.62	25.65	847
81	2025-01-08 08:00:00	3.11	24.91	214
27	2025-01-05 08:00:00	3.12	26.82	436
22	2025-01-10 15:00:00	3.16	22.47	979
19	2025-01-05 12:00:00	3.31	25.98	567
33	2025-01-05 12:00:00	3.53	25.73	433
40	2025-01-04 15:00:00	3.53	25.24	707
72	2025-01-02 11:00:00	3.07	23.12	665
95	2025-01-05 08:00:00	3.05	27.38	503
4	2025-01-09 11:00:00	3.87	27.35	705
43	2025-01-11 18:00:00	3.43	22.1	692
34	2025-01-05 00:00:00	3.22	23.64	485
48	2025-01-01 02:00:00	3.52	26.9	949
34	2025-01-07 13:00:00	3.05	24.22	676
40	2025-01-09 23:00:00	3.85	23.27	987
44	2025-01-01 13:00:00	3.41	24.9	506
27	2025-01-01 04:00:00	3.4	26.25	322
71	2025-01-03 04:00:00	3.29	26.57	839
100	2025-01-05 20:00:00	3.5	27.29	986
84	2025-01-09 02:00:00	3.64	22.56	228
91	2025-01-09 18:00:00	3.85	27.45	624
9	2025-01-09 07:00:00	3.83	25.18	652
26	2025-01-07 22:00:00	3.92	26.48	408
98	2025-01-04 05:00:00	3.53	24.4	549
30	2025-01-05 05:00:00	3.16	25.23	874
7	2025-01-01 05:00:00	3.15	27.77	
77	2025-01-09 03:00:00	3.9	24.67	260
43	2025-01-04 15:00:00	3.43	22.77	706
58	2025-01-01 03:00:00	3.45	25.38	863
89	2025-01-10 08:00:00	3.32	25.18	522
1	2025-01-07 14:00:00	3.67	22.2	392
93	2025-01-09 23:00:00	3.11	24.91	680
72	2025-01-09 16:00:00	3.92	22.8	458
74	2025-01-11 01:00:00	3.22	22.23	356
61	2025-01-10 01:00:00	3.08	27.39	966
73	2025-01-01 01:00:00	3.52	25.39	416
17	2025-01-09 11:00:00	3.79	22.63	244
52	2025-01-08 02:00:00	3.8	24.84	763
2	2025-01-06 17:00:00	3.58	25.03	730
65	2025-01-07 17:00:00	3.62	26.75	368
24	2025-01-06 03:00:00	3.85	25.82	480
28	2025-01-07 01:00:00	3.09	24.09	273
19	2025-01-11 10:00:00	3.02	25.45	885
97	2025-01-10 18:00:00	3.16	24.92	650
60	2025-01-02 19:00:00	3.8	22.49	889
1	2025-01-09 21:00:00	3.5	26.7	971
21	2025-01-08 12:00:00	3.98	22.0	397
64	2025-01-05 12:00:00	3.91	22.14	311
83	2025-01-06 18:00:00	3.33	25.49	668
86	2025-01-01 05:00:00	3.55	25.28	396
22	2025-01-05 06:00:00	3.38	23.73	977
6	2025-01-10 04:00:00	3.99	26.73	643
66	2025-01-07 18:00:00	3.46	26.29	582
64	2025-01-01 15:00:00	3.02	25.34	258
63	2025-01-03 02:00:00	3.33	23.48	419
6	2025-01-10 20:00:00	3.04	24.5	689
87	2025-01-05 14:00:00	3.71	26.65	734
5	2025-01-10 05:00:00	3.61	22.05	990
37	2025-01-07 18:00:00	3.03	27.48	542
41	2025-01-06 08:00:00	3.21	22.15	294
13	2025-01-01 19:00:00	3.33	27.77	
83	2025-01-08 21:00:00	3.53	27.03	562
61	2025-01-03 14:00:00	3.88	26.93	557
47	2025-01-08 10:00:00	3.67	23.23	476
69	2025-01-11 06:00:00	3.56	24.69	635
15	2025-01-05 18:00:00	3.96	24.76	686
54	2025-01-06 03:00:00	3.78	27.37	509
49	2025-01-03 15:00:00	3.97	27.63	858
18	2025-01-10 21:00:00	3.54	22.91	907
75	2025-01-03 05:00:00	3.92	26.59	
81	2025-01-03 20:00:00	3.35	26.17	901
25	2025-01-09 17:00:00	3.61	22.73	531
32	2025-01-08 01:00:00	3.94	22.83	623
17	2025-01-01 16:00:00	3.41	25.51	402
60	2025-01-02 11:00:00	3.13	25.14	588
61	2025-01-09 19:00:00	3.24	25.57	
77	2025-01-10 06:00:00	3.72	23.91	271
89	2025-01-09 10:00:00	3.6	27.25	226
73	2025-01-07 09:00:00	3.15	25.49	797
66	2025-01-08 10:00:00	3.11	24.27	906
60	2025-01-09 16:00:00	3.39	22.9	810
33	2025-01-01 11:00:00	3.23	23.6	
90	2025-01-01 05:00:00	3.34	22.11	919
91	2025-01-03 17:00:00	3.73	26.41	598
68	2025-01-01 22:00:00	3.43	22.41	334
17	2025-01-04 13:00:00	3.42	27.51	490
59	2025-01-04 18:00:00	3.87	27.16	215
45	2025-01-08 06:00:00	3.87	22.68	337
41	2025-01-08 05:00:00	3.1	27.55	955
40	2025-01-01 01:00:00	3.11	23.18	960
52	2025-01-11 08:00:00	3.88	24.64	574
33	2025-01-06 06:00:00	3.57	24.45	749
16	2025-01-09 20:00:00	3.84	26.04	489
9	2025-01-11 19:00:00	3.99	26.0	521
83	2025-01-08 23:00:00	3.91	25.69	358
76	2025-01-03 09:00:00	3.61	27.74	691
16	2025-01-07 22:00:00	3.78	26.68	648
48	2025-01-06 23:00:00	3.16	24.82	592
33	2025-01-03 23:00:00	3.11	24.71	396
90	2025-01-02 16:00:00	3.2	25.27	873
21	2025-01-02 10:00:00	3.63	24.05	315
12	2025-01-02 22:00:00	3.26	27.82	537
41	2025-01-03 09:00:00	3.56	27.07	222
27	2025-01-06 17:00:00	3.14	23.39	501
45	2025-01-05 14:00:00	3.74	22.34	
8	2025-01-07 01:00:00	3.07	26.07	683
27	2025-01-02 09:00:00	3.36	27.99	888
1	2025-01-07 22:00:00	3.6	26.43	863
17	2025-01-06 16:00:00	3.65	24.3	348
83	2025-01-06 04:00:00	3.88	27.7	
2	2025-01-11 05:00:00	3.82	23.97	383
92	2025-01-11 08:00:00	3.17	23.96	319
95	2025-01-11 19:00:00	3.34	24.51	636
15	2025-01-01 13:00:00	3.11	26.67	
12	2025-01-05 01:00:00	3.68	26.51	992
3	2025-01-08 11:00:00	3.03	27.06	950
37	2025-01-01 19:00:00	3.39	27.97	
22	2025-01-06 06:00:00	3.37	27.37	
11	2025-01-09 11:00:00	3.13	27.56	974
9	2025-01-03 19:00:00	3.52	23.72	592
73	2025-01-10 12:00:00	3.51	23.14	577
8	2025-01-01 10:00:00	3.21	23.96	698
80	2025-01-06 11:00:00	3.13	23.67	227
57	2025-01-02 03:00:00	3.51	25.42	674
8	2025-01-07 09:00:00	3.56	25.97	355
75	2025-01-01 12:00:00	3.28	27.32	713
85	2025-01-02 15:00:00	3.3	22.12	615
88	2025-01-06 01:00:00	3.33	24.33	299
55	2025-01-03 23:00:00	3.95	26.01	991
9	2025-01-02 05:00:00	3.16	26.91	673
66	2025-01-05 14:00:00	3.12	23.8	
17	2025-01-02 15:00:00	3.45	26.48	854
3	2025-01-04 15:00:00	3.8	27.31	883
34	2025-01-02 07:00:00	3.71	27.5	317
75	2025-01-06 16:00:00	3.15	27.07	491
23	2025-01-10 19:00:00	3.13	26.0	890
7	2025-01-04 13:00:00	3.87	26.88	946
98	2025-01-08 13:00:00	3.44	23.38	577
84	2025-01-06 06:00:00	3.33	24.55	594
79	2025-01-05 07:00:00	3.56	24.83	816
7	2025-01-07 17:00:00	3.22	24.4	236
21	2025-01-06 09:00:00	3.49	24.15	808
42	2025-01-07 10:00:00	3.97	24.04	678
68	2025-01-07 10:00:00	3.13	22.41	881
32	2025-01-09 15:00:00	3.18	27.15	988
55	2025-01-06 06:00:00	3.24	25.05	1000
38	2025-01-10 00:00:00	3.8	24.34	363
14	2025-01-08 01:00:00	3.85	27.48	962
51	2025-01-09 20:00:00	3.38	27.82	392
60	2025-01-04 22:00:00	3.67	26.71	935
13	2025-01-04 12:00:00	3.84	26.23	925
71	2025-01-06 12:00:00	3.41	23.59	232
9	2025-01-09 11:00:00	3.69	25.75	569
63	2025-01-10 22:00:00	3.12	27.0	847
64	2025-01-10 06:00:00	3.12	24.81	225
3	2025-01-11 05:00:00	3.53	27.27	792
75	2025-01-11 05:00:00	3.35	24.38	539
61	2025-01-03 22:00:00	3.73	27.37	741
13	2025-01-09 14:00:00	3.49	26.36	880
94	2025-01-09 01:00:00	3.18	25.85	353
14	2025-01-02 12:00:00	3.57	24.67	
33	2025-01-04 15:00:00	3.73	23.87	277
78	2025-01-08 10:00:00	3.34	23.08	
55	2025-01-06 19:00:00	3.74	22.2	664
26	2025-01-07 22:00:00	3.75	26.06	
38	2025-01-01 01:00:00	3.1	25.37	539
59	2025-01-03 00:00:00	3.45	27.48	964
64	2025-01-06 06:00:00	3.42	23.88	979
85	2025-01-05 23:00:00	3.59	26.05	
60	2025-01-04 00:00:00	3.24	26.4	841
25	2025-01-07 13:00:00	3.41	25.85	212
99	2025-01-05 13:00:00	3.23	26.3	878
26	2025-01-07 18:00:00	3.78	23.18	556
95	2025-01-03 18:00:00	3.27	24.63	762
52	2025-01-06 11:00:00	3.54	22.9	925
88	2025-01-02 05:00:00	3.41	27.11	218
43	2025-01-03 01:00:00	3.49	22.22	805
27	2025-01-08 08:00:00	3.09	27.85	937
22	2025-01-11 12:00:00	3.84	27.58	507
15	2025-01-06 16:00:00	3.74	27.41	881
6	2025-01-01 12:00:00	3.75	24.46	
38	2025-01-02 18:00:00	3.35	27.97	616
64	2025-01-10 15:00:00	3.41	25.55	372
11	2025-01-08 19:00:00	3.38	22.29	205
36	2025-01-03 03:00:00	3.69	27.81	359
13	2025-01-07 11:00:00	3.05	22.77	940
99	2025-01-11 03:00:00	3.61	24.89	771
57	2025-01-02 12:00:00	3.46	26.5	934
1	2025-01-06 18:00:00	3.58	27.48	966
55	2025-01-07 14:00:00	3.61	27.01	
5	2025-01-09 05:00:00	3.32	23.22	995
44	2025-01-02 14:00:00	3.32	27.85	
46	2025-01-05 01:00:00	3.16	27.33	938
33	2025-01-10 10:00:00	3.52	26.05	374
13	2025-01-06 00:00:00	3.31	24.4	752
93	2025-01-10 15:00:00	3.7	27.57	538
2	2025-01-01 16:00:00	3.18	25.28	346
52	2025-01-08 03:00:00	3.79	23.68	843
14	2025-01-10 02:00:00	3.9	25.68	855
2	2025-01-01 17:00:00	3.28	27.83	
99	2025-01-04 00:00:00	3.65	25.86	598
34	2025-01-08 19:00:00	3.82	25.6	507
17	2025-01-07 03:00:00	3.15	22.55	634
60	2025-01-03 05:00:00	3.08	22.54	792
39	2025-01-10 21:00:00	3.63	26.37	
97	2025-01-06 18:00:00	3.72	22.68	309
77	2025-01-01 20:00:00	3.99	27.06	310
20	2025-01-06 14:00:00	3.59	26.0	825
27	2025-01-02 05:00:00	3.05	25.35	914
56	2025-01-01 14:00:00	3.43	26.61	785
55	2025-01-07 18:00:00	3.12	23.64	971
98	2025-01-10 18:00:00	3.83	25.61	359
70	2025-01-11 15:00:00	3.84	23.36	925
18	2025-01-06 20:00:00	3.64	25.39	543
57	2025-01-04 14:00:00	3.14	27.8	646
34	2025-01-11 18:00:00	3.88	25.53	500
31	2025-01-01 23:00:00	3.12	25.63	993
76	2025-01-08 06:00:00	3.85	26.32	220
3	2025-01-10 23:00:00	3.19	24.98	999
98	2025-01-10 10:00:00	3.63	23.77	788
53	2025-01-05 19:00:00	3.45	27.9	613
8	2025-01-01 03:00:00	3.06	23.14	713
91	2025-01-04 05:00:00	3.67	25.8	876
74	2025-01-06 08:00:00	3.51	23.52	
49	2025-01-09 20:00:00	3.24	24.37	595
67	2025-01-04 22:00:00	3.31	24.42	260
55	2025-01-07 02:00:00	3.35	22.67	719
93	2025-01-02 04:00:00	3.19	22.03	747
89	2025-01-06 04:00:00	3.33	26.05	376
67	2025-01-06 17:00:00	3.14	26.15	617
14	2025-01-11 13:00:00	3.8	23.13	376
98	2025-01-03 10:00:00	3.99	23.66	854
40	2025-01-07 03:00:00	3.36	22.74	361
46	2025-01-09 16:00:00	3.67	25.28	775
2	2025-01-03 16:00:00	3.25	25.32	293
30	2025-01-09 19:00:00	3.64	27.4	309
85	2025-01-02 01:00:00	3.08	26.48	729
18	2025-01-10 13:00:00	3.7	22.66	450
16	2025-01-11 19:00:00	3.18	22.76	
34	2025-01-06 17:00:00	3.94	23.06	367
88	2025-01-06 10:00:00	3.8	27.85	915
56	2025-01-11 02:00:00	3.77	25.25	
12	2025-01-02 14:00:00	3.23	26.67	542
48	2025-01-07 04:00:00	3.52	23.78	938
53	2025-01-04 05:00:00	3.7	26.58	280
83	2025-01-01 03:00:00	3.64	26.71	818
46	2025-01-07 12:00:00	3.35	25.17	501
57	2025-01-08 06:00:00	3.78	23.69	356
25	2025-01-07 23:00:00	3.47	22.31	850
93	2025-01-10 10:00:00	3.79	25.78	273
35	2025-01-02 19:00:00	3.01	26.87	690
14	2025-01-07 00:00:00	3.47	26.31	282
7	2025-01-10 04:00:00	3.22	26.86	285
43	2025-01-07 13:00:00	3.54	26.36	845
100	2025-01-11 22:00:00	3.91	22.98	765
33	2025-01-03 20:00:00	3.73	24.63	928
94	2025-01-01 14:00:00	3.38	24.87	465
41	2025-01-09 19:00:00	3.27	24.42	480
10	2025-01-02 20:00:00	3.73	23.47	498
82	2025-01-01 00:00:00	3.86	24.43	
53	2025-01-11 20:00:00	3.98	26.17	405
97	2025-01-07 20:00:00	3.34	24.17	632
81	2025-01-11 18:00:00	3.95	25.99	284
15	2025-01-08 11:00:00	3.35	26.09	909
18	2025-01-03 13:00:00	3.31	25.25	808
49	2025-01-02 20:00:00	3.88	26.51	904
34	2025-01-04 14:00:00	3.87	23.37	
61	2025-01-08 14:00:00	3.68	25.58	422
86	2025-01-07 05:00:00	3.42	25.63	289
15	2025-01-08 10:00:00	3.45	24.41	625
5	2025-01-10 21:00:00	3.61	23.65	828
65	2025-01-06 03:00:00	3.32	24.47	448
78	2025-01-07 13:00:00	3.38	24.5	522
8	2025-01-02 12:00:00	3.04	22.63	696
86	2025-01-02 21:00:00	3.02	26.56	484
75	2025-01-03 04:00:00	3.84	23.29	797
98	2025-01-04 06:00:00	3.69	24.36	412
15	2025-01-09 19:00:00	3.07	26.77	429
24	2025-01-02 21:00:00	3.44	22.58	584
92	2025-01-11 20:00:00	3.87	27.15	548
28	2025-01-05 13:00:00	3.73	23.81	226
15	2025-01-06 15:00:00	3.71	24.52	817
3	2025-01-10 19:00:00	3.63	27.2	287
34	2025-01-10 20:00:00	3.37	27.45	722
83	2025-01-07 03:00:00	3.87	27.42	829
88	2025-01-03 15:00:00	3.31	27.79	359
33	2025-01-07 21:00:00	3.4	25.81	832
83	2025-01-08 09:00:00	3.47	25.39	515
76	2025-01-09 09:00:00	3.63	27.74	631
15	2025-01-10 17:00:00	3.59	26.17	538
23	2025-01-06 11:00:00	3.59	24.81	815
18	2025-01-02 20:00:00	3.34	27.18	366
92	2025-01-08 15:00:00	3.79	25.34	923
65	2025-01-09 19:00:00	3.86	27.84	295
