tank_id	grape_variety	capacity_liters
78	ZinfandelVellutato,ArneisAntico,FianoPregiato	1358
79	GrecoMaestoso,ZinfandelSolare,NebbioloNobile	1164
80	CaricagiolaDorato,SagrantinoIntenso,MoscatoMaestoso	1461
81	SagrantinoGenuino,VernacciaVigoroso,PrimitivoDorato	1658
82	CabernetRobusto,DolcettoArmonico,FianoAureo	1639
83	MalvasiaFragrante,GarganegaIntenso,FianoAureo	1606
84	TeroldegoGenuino,TorbatoMaestoso,MontepulcianoStorico	1526
85	CannonauRobusto,VernacciaVellutato,MonicaSelezionato	1000
86	SyrahFruttato,MerlotAromatico,SangioveseBalsamico	1607
87	BarberaClassico,GrilloAvvolgente,RieslingBarricato	1510
88	GiroRegale,SangioveseRustico,TrebbianoSpeziato	1791
89	CorvinaSpeziato,DolcettoArmonico,CannonauMorbido	1697
90	VerdicchioMorbido,TempranilloIntenso,NegroamaroFragrante	1174
91	MalbecCorposo,TeroldegoPrezioso,ArneisVivace	1471
92	ViognierClassico,TrebbianoSplendido,SangioveseVivace	1612
93	NuragusBalsamico,CorvinaArmonico,AglianicoAvvolgente	1383
94	GrecoRegale,BarberaGenuino,NascoOpulento	1132
95	DolcettoVigoroso,NiedderaSolare,ChardonnayPrezioso	1758
96	SagrantinoGenuino,SangioveseRustico,SangioveseSublime	1372
97	VermentinoAureo,CabernetDorato,MonicaNobile	1328
98	VerdicchioMorbido,FalanghinaIntenso,VernacciaVivace	1538
99	MoscatoVigoroso,TempranilloElegante,SagrantinoGenuino	1326
100	CarignanoRinomato,TeroldegoRubino,RieslingSolare	1261
